Marka,Model,Seri,Yıl,Kilometre,Renk,Fiyat,Yer,Yakıt Tipi,Vites Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Yakıt Deposu,Çekiş,Kimden
Fiat,1.6 Multijet Emotion Plus,Linea,2011.0,194000.0,Siyah,440000.0,"Kumkısık Mh. Merkezefendi, Denizli",Dizel,Düz,Sedan,1401 - 1600 cm3,101 - 125 HP,,Önden Çekiş,Galeriden
Fiat,EVO 1.4 Active,Punto,2011.0,201000.0,Beyaz,435000.0,"Doğancıbağları Mh. Merkez, Tokat",LPG & Benzin,Düz,Hatchback/5,1201 - 1400 cm3,76 - 100 HP,,Önden Çekiş,Galeriden
Fiat,Sole 1.3 Multijet Active,Albea,2008.0,297500.0,Gri,330000.0,"Bozkurt Mh. Keşap, Giresun",Dizel,Düz,Sedan,1248 cc,70 hp,48 lt,Önden Çekiş,Galeriden
Fiat,1.4 Fire Easy,Egea,2019.0,63000.0,Beyaz,648000.0,"Şirinevler Mh. Merkez, Osmaniye",Benzin,Düz,Sedan,1201 - 1400 cm3,76 - 100 HP,,Önden Çekiş,Galeriden
Fiat,Grande 1.3 Multijet Fun,Punto,2010.0,336000.0,Beyaz,299000.0,"Beşköprü Mh. Serdivan, Sakarya",Dizel,Düz,Hatchback/3,1248 cc,75 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.6 Multijet Urban,Egea,2022.0,40000.0,Gri,1045000.0,"Gündoğdu Mh. İzmit, Kocaeli",Dizel,Otomatik,Sedan,1401 - 1600 cm3,126 - 150 HP,,Önden Çekiş,Galeriden
Fiat,2.0 ie,Tempra,1995.0,192000.0,Beyaz,350000.0,"Alifuatpaşa Mh. Geyve, Sakarya",LPG & Benzin,Düz,Sedan,1995 cc,113 hp,65 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Easy,Egea,2020.0,114000.0,Beyaz,659750.0,"Sarıcalı Mh. Çarşamba, Samsun",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.4 Fire Urban,Egea,2016.0,125000.0,Beyaz,595000.0,"Rami Cuma Mh. Eyüpsultan, İstanbul",Benzin,Düz,Sedan,1368 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Urban,Egea,2020.0,110000.0,Gri,760000.0,"Velibaba Mh. Pendik, İstanbul",Dizel,Düz,Sedan,1401 - 1600 cm3,101 - 125 HP,,Önden Çekiş,Galeriden
Fiat,1.4 Fire Active Plus,Linea,2013.0,173000.0,Beyaz,415000.0,"Yıldız Mh. Muratpaşa, Antalya",LPG & Benzin,Düz,Sedan,1368 cc,77 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.2 Dynamic,Albea,2004.0,200000.0,Kırmızı,340000.0,"İnönü Mh. Merkez, Kastamonu",LPG & Benzin,Düz,Sedan,1242 cc,80 hp,47 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Urban Plus,Egea,2020.0,173000.0,Gri,739000.0,"Söğütlü Mh. Akçaabat, Trabzon",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.4 Fire Easy Stil,Egea,2021.0,122000.0,Beyaz,585000.0,"Beşköprü Mh. Serdivan, Sakarya",Benzin,Düz,Sedan,1368 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.6 HL Weekend,Palio,2000.0,249500.0,Lacivert,250000.0,"Saracalar Mh. Akyurt, Ankara",LPG & Benzin,Düz,Station wagon,1581 cc,100 hp,51 lt,Önden Çekiş,Galeriden
Fiat,70 S,Uno,1999.0,200000.0,Beyaz,235900.0,"Fevziçakmak Mh. Karatay, Konya",LPG & Benzin,Düz,Hatchback/5,1372 cc,71 hp,42 lt,Önden Çekiş,Galeriden
